according to	مطابق	
banana	موز	
bill	قبض	
cage	قفس	
cassette player	ظبط صوت	
copy	رونوشت	
decide	تصمیم	
do right	انجام کار درست	
find out	پیدا کردن	
for a while	هنگامی که	
get cold	سرما خوردن	
give back	پس دادن	
keep on	ادامه دادن	
language lab	آزمایشگاه زبان	
make a mistake	اشتباه کردن	
math	ریاضی	
motorcycle	موتور سیکلت	
passage	عبارت	
pick up	برداشتن	
politely	مودبانه	
puzzle	پازل	
request	درخواست	
reward	جایزه	
right	صحیح	
run out of	به اتمام رسیده	
slice	تیکه	
sugar	شکر	
take (sth) apart	جدا کردن(چیزی)	
tape	نوار	
unhappy	ناکام	
unusual	غیر معمول	
upset	ناراحت	
Would you mind ...?	تمایل دارید...؟	
You’re welcome	خواهش می کنم	درس اول
a lot	خیلی	
all day long	تمام روز	
around	در اطراف	
both	هر دو	
camera	دوربین	
centimeter	سانتی متر	
earth	زمین	
everywhere	هرجا	
face	صورت	
fall	پاییز	
fewer	کمتر	
flat	هموار	
get out of	خارج شدن از	
go around	در اطراف	
hers	مال او (مونث)	
his (pron)	او(ضمیر)	
hold	نگه داشتن	
inside	داخل	
its (pron)	آن(ضمیر)	
knife	چاقو	
knowledge	دانش	
like 	مانند	
lots of	مانند	
mine	مال من	
navy	نیروی دریایی	
ours	مال ما	
photograph	عکس	
photographer	عکاس	
plant life	زندگی گیاهی	
rather	نسبتا	
rock	سنگ	
russion	روسی	
sailor	ملوان	
space	فاصله	
spaceship	سفینه فضایی	
steal	دزدی	
take a photograph	عکس گرفتن	
other	دیگری	
theirs	مال آنها	
till	تا	
understand	فهمیدن	
wide	وسیع	
windy	پرباد	
would like	می خوام	
yours	ما شما	درس دوم
a foot wide	پا گسترده	
airport	فرودگاه	
along	"در امتداد ، طول"	
altogether	روی هم رفته	
bar	میله	
biscuit	بیسکویت	
bottle	بطری	
bridge	پل	
canal	آبراه	
child’s wagon	کالسکه بچه	
chocolate	شکلات	
church	کلیسا	
coach	مربی	
cost	هزینه	
dollhouse	خانه عروسکی	
employ	استخدام	
even	حتی	
factory	کارخانه	
fairyland	کشور پریان	
glow	"تابیدن، گداختن"	
golden	طلائی	
hammer	چکش	
highway	بزرگراه	
history	تاریخ	
Holland	کشور هلند	
hurt	صدمه	
jam	مربا	
jar	شیشه	
light bulb	چراغ برق	
loaf	یک قرص نان	
low	کم	
magazine	مجله	
match	همخوانی داشتن	
merry - go - round	شاد- رفتن- اطراف	
model	مدل	
offer	پیشنهاد	
packet	بسته	
price	قیمت	
pull	کشیدن	
punish	تنبیه کردن	
repair	تعمیر	
run along	اجرا طولانی	
sail	ملوان	
soap	صابون	
soft drink	نوشیدنی غیر الکلی	
soup	سوپ	
speed	سرعت	
stone	سنگ	
through	از میان	
thumb	شست	
tiny	خیلی کوچک	
toy	اسباب بازی	
track	مسیر	
waist	دور کمر	
walk	راه رفتن	
war	جنگ	
whole	"تمام، کامل"	درس سوم
against	مخالف	
although	اگرچه	
blow	"فوت، ضربت"	
boss	رئیس	
bowl	"کاسه،جام"	
chemistry	شیمی	
coal	زغال سنگ	
complete	کامل	
countryman	هم میهن	
cruel	بی رحم	
cry	گریه کردن	
earn	بدست آوردن	
feel	احساس	
feel sorry for	احساس  ناراحتی کردن برای	
France	فرانسه	
gold	طلا	
grammar	گرامر	
hand (clock)	دست(ساعت)	
handle	رسیدگی	
head	سر	
How about...?	درباره ...چطور؟	
ill	مریض	
iron	ایران	
law	قانون	
machine	ماشین	
metal	فلز	
mine	مال خودم	
miner	معدنچی	
offer	پیشنهاد	
perfectly	کاملا	
prefer	ترجیح دادن	
president	رئیس جمعور	
promise	قول	
real	واقعی	
reason	دلیل	
sad	ناراحت	
stay with	ماندن با	
telegram	تلگراف	
terrible	وحشتناک	
touch	لمس کردن	
watery	آبکی	
wind	باد	درس 4
angrily	باعصبانیت	
apartment	آپارتمان	
aside	گذشته از	
Bad luck!	بدشانسی	
full of 	پر از	
can	قوطی	
capital	"حروف بزرگ، پایتخت"	
carton	کارتون	
chicken	مرغ	
come back	برگشتن	
completely	کاملا	
cream	کرم	
crowded	شلوغ	
Delhi	دهلی نو	
get into trouble	به دردسر افتادن	
get mixed up	مخلوط کردن	
go hungry	گرسنه شدن	
go on a trip	سفر رفتن	
hate	تنفر	
have to	مجبور بودن	
jump	پریدن	
lazy	تنبل	
light	روشنایی	
lovely	دوست داشتنی	
March	ماه مارس	
million	میلیون	
miss	از دست دادن	
mixed up	مخلوط کردن	
museum	موزه	
October	ماه اکتبر	
officer	افسر	
once	یک بار	
park	پارک	
polite	با ادب	
population	جمعیت	
pot	"قوری، کتری"	
put (sth) aside	(چیزی را) کنار گذاشتن	
round	دور 	
row	ردیف	
sadly	با ناراحتی	
say goodbye	خداحافظی	
seaside	کنار دریا	
September	سپتامبر	
shopping	خرید	
sit	نشستن	
spaghetti	ماکارانی	
sugar	شکر	
taste	"طعم، مزه"	
tourist	توریست	
toward	"بسوی، بطرف"	
toy gun	تفنگ اسباب بازی	
without	بدون	
wood	چوب	درس  پنجم
a short while	مدت کوتاه	
advice	نصیحت	
all of a sudden	ناگهان	
bother	دردسر دادن	
breath	نفس	
breathe	نفس کشیدن	
business	کسب و کار	
coin	سکه	
cover	پوشش	
cure	درمان	
disease	"مرض، ناخوشی"	
extra	اضافی	
for no good reason	بدون هیچ دلیل خوبی	
giggle	خندیدن	
go on a picnic	پیک نیک رفتن	
herself	خودش (مونث)	
hiccup	سکسکه	
himself	خوش(مذکر)	
hold one’s breath	نفس کسی را نگه داشتن	
humid	مرطوب	
illness	بیماری	
itself	خود	
jerk	حرکت تند و سریع	
last	آخر	
lend	قرض دادن	
lucky	خوش شانس	
medicine	دارو	
mind	"ذهن، عقل"	
most of the time	اکثر اوقات	
mouth	دهان	
muscle	عضله	
myself	خودم	
obey	پیروی کردن	
order	سقارش	
ourselves	خودمان	
paper bag	کیسه کاغذی	
pay attention	توجه کردن	
picnic	پیک نیک	
rainy	بارونی	
record	"رکورد، ثبت"	
scare	ترساندن	
secretary	"دبیر، منشی"	
stop	متوقف کردن	
successful	موفق شدن	
suddenly	ناگهان	
take a breath	یه نفسی بگیر	
themselves	برای آنها	
try	تلاش	
unwelcome	ناخواسته	
wet	خیس	
while	در حالی که	
yourself	خودت	
yourselves	خودتان	درس 6
actually	در واقع	
agree about / on	موافقت	
appointment	قرار ملاقات	
backache	کمر درد	
behaviour	رفتار	
birthday	تولد	
comment about / on	اظهار نظر در مورد	
common	معمولی	
composition	ترکیب بندی	
conversation	گفتگو	
date	تاریخ	
depend on	بستگی داشتن به	
describe	توصیف کردن	
different	متفاوت	
disagree about	مخالف بودن با	
education	تحصیلات	
expect	انتظار داشتن	
expression	اصطلاح	
finger	انگشت	
fixed	درست شد	
friendly	دوستانه	
greet	تبریک گفتن	
greeting	تبریک	
headache	سردرد	
health	سلامتی	
How is every thing with you?	اوضاع و احوال چطوره؟	
idea	ایده	
importance	اهمیت	
living	زندگی کردن	
necessary	لازم	
opinion	اندیشه	
peace	آرامش	
politics	سیاست	
professor	پرفسور	
purpose	هدف	
quiet	ساکت	
race	مسابقه	
religion	دین	
require	نیاز	
safe	امن	
similar	مشابه	
small talk	حرف مفت	
social	اجتماعی	
start	شروع	
sufficient	کافی	
suitable	مناسب	
supermarket	سوپرمارکت	
take place	اتفاق افتادن	
topic	عنوان	
transport system	سیستم حمل و نقل	
usual	عادی	
vocabulary	لغت	
walk around	را رفتن در اطراف	
write	نوشتن	درس 7
