allow	اجازه دادن	
at the end of	در پایان	
at the front	در جلو	
average	متوسط	
(be)careful about	مراقب بود درباره	
(be) interested in	علاقمند بودن به	
behave	رفتار کردن	
case	"حالت، وضعیت"	
certain	دقیق	
channel	"کانال، مجرا"	
choice	انتخاب	
choose	برگزیدن	
colorful	رنگارنگ	
continue	ادامه دادن	
daily	روزانه	
among	در میان	
effect	اثر	
end	پایان	
except	بجز	
experiment	تجربه	
eyesight	بینایی	
future	آینده	
get ... away from	دور از ...	
harmful	زیان آور	
holiday	تعطیل	
housewife	خانم خانه دار	
How often ... ?	چند وقت به چند وقت...؟	
improve	بهبود دادن	
influence	تاثیر	
movie	فیلم	
music	موسیقی	
husband	شوهر	
observation	مشاهده	
once (a week)	یکبار (در هفته)	
out at work	در محل کار	
period	دوره زمانی	
powerful	نیرومند	
practice	تمرین و تکرار	
pressure	فشار	
probably	احتمالا	
recent	اخیر	
recently	اخیرا	
relax	راحت کردن	
relaxed	آرام	
research	پژوهش	
researcher	پژوهشگر	
single	مجرد	
university	دانشگاه	
skill	مهارت	
sport	ورزش	
stay	ماندن	
struggle	تقلا کردن	
successfully	با موفقعیت	
take a test	یک آزمون	
television set	دستگاه تلویزیون	
theater	تئاتر	
twice (a week)	دوبار در (هفته)	
type	نوع	
unusual	غیر معمول	
viewer	تماشاگر	
weak	هفته	
wonderful	شگفت انگیز	
worry about	نگرانی درباره ی	درس 1
as soon as	"به محض ، همینکه"	
ashamed of	شرمسار از	
(be) on time	به موقع بودن	
blind	کور	
clerk	منشی	
dangerous	خطرناک	
degree	درجه	
discussion	بحث	
dislike	دوست نداشتن	
driving test	امتحان رانندگی	
educate	آموزش	
end	پایان	
examine	امتحان کردن	
such	چنین	
education	تحصیلات	
fact	حقیقت	
fashionable	مد روز	
fill	پر کردن	
final	نهایی	
fit	مناسب	
flight	پرواز	
forbid	ممنوع	
free	آزاد	
goal	هدف	
government	دولت	
honest	صادق	
however	اگرچه	
in fact	در واقع	
purpose	هدف	
in other words	به عبارتی دیگر	
insist on	پافشاری کردن	
lie	دروغ	
means	به معنای	
modern	"مدرن، نو"	
nation	ملت	
passenger	مسافر	
perfect	کامل	
possible	ممکن	
prepare	آماده	
produce	تولید	
rapidly	به سرعت	
realize	درک کردن	
impossible	غیر ممکن	
refuse	رد کردن	
role	نقش	
rubbish	زباله	
service	"سرویس، خدمات"	
show	نمایش	
silly	مسخره	
society	جامعه	
stupid	احمق	
take away from	دور بودن از	
useful	مفید	
What time is the film on?	فیلم در چه ساعتی شروع میشه؟	
value	مقدار	
whether	چه	
mark	"علامت، نشانه"	درس2
ability	توانایی	
afraid (of)	ترسیدن	
amount	مقدار	
area	ناحیه	
basis	اساس	
brain	مغز	
briefly	به طور خلاصه	
call up	احضار کردن	
chemical	شیمیایی	
conscious	هوشیار	
dead	مرده	
detail	جزئیات	
emotional	احساساتی	
enter	وارد شدن	
even	حتی	
event	اتفاق	
exist	وجود داشتن	
feeling	احساس	
foreigner	غریبه	
forest	جنگل	
hear about	شنیدن درباره	
hobby	سرگرمی	
information	اطلاعات	
interest	علاقه	
jet	فواره	
loss	زیان	
memory	حافظه	
mental	روانی	
mind	ذهن	
mistake	اشتباه	
object	شی	
occur	رخداد	
over and over	دوباره و دوباره	
overlearning	آموزی	
pace	سرعت	
painful	دردناک	
photographic	وابسته به عکاسی	
physical	فیزیکی	
poem	شعر	
psychologist	روانشناس	
question	سوال	
recall	فراخوان	
record	"رکورد،ضبط"	
responsible	مسولیت	
scene	صحنه	
search for	جستجو برای	
shopkeeper	مغازه دار	
slow down	کم کردن سرعت	
sorry about	متاسفم برای	
stick in one’s	چسبیدن به کسی	
talk with	صحبت با	
thus	بدین ترتیب	
turn up	رخداد	
weekend	آخر هفته	درس 3
and so on	و غیره	
athlete	ورزشکار	
attract	مجذوب کردن	
award	"جایزه ، انعام"	
basically	اساسا	
bathroom	حمام	
bottom	پایین	
boxing	مشت زنی	
bronze	برنزی	
celebration	جشن	
committee	"کمیسیون، مجلس مشاوره"	
competition	رقابت	
consist of	شامل	
control	کنترل	
cycle	چرخه	
Denmark	دانمارک	
depth	عمق	
encourage	تشویق کردن	
envelope	پاکت نامه	
force	زور	
fortune	ثروت	
friendship	دوستی	
Greece	یونان	
gymnastics	ژیمناستیک	
heat	حرارت	
height	ارتفاع	
hold	نگه داشتن	
ice - hockey	هاکی روی یخ	
immediately	بلافاصله	
include	شامل بودن	
individual	فردی	
instruction	دستورالعمل	
international	بین المللی	
lake	دریاچه	
length	طول	
measure	اندازه گرفتن	
medal	مدال	
meeting	ملاقات	
Olympic	المپیک	
operate	عمل کردن	
organize	سازمان دادن	
pair	جفت	
permit	اجازه	
place	مکان	
plain	ساده	
religious	مذهبی	
serious	جدی	
shelf	تاقچه	
silently	در سکوت	
silver	نقره	
skating	اسکیت	
skiing	اسکی بازی	
so far	تا حالا	
take part in	شرکت در	
team	تیم	
together	ا همدیگر	
track and field	دو میدانی	
weekly	هفتگی	
width	عرض	
win	پیروزی	
winner	برنده	
wrestle	کشتی گرفتن	
wrestling	کشتی	درس 4
after a while	بعد از مدتی	
amused	خوشحال	
amusing	سرگرم کننده	
behind	پشت	
bored	خسته	
boring	حوصله سر بر	
call out	بلند صدا زدن	
carpet	فرش	
company	شرکت	
confused	سردرگم	
confusing	گیج کننده	
cotton	پارچه نخی	
Egypt	مصر	
exciting	هیجان انگیز	
excited	برانگیخته	
far apart	دور از هم	
fear	ترس	
fast	سریع	
frightened	ترسناک	
habit	عادت	
hard working	سخت کوش	
How do you do?	چطوری	
invent	اختراع کردن	
invention	اختراع 	
involve	گرفتار	
instead (of)	بجای	
keep accounts	نگه داشتن حساب	
long ago	خیلی وقت پیش	
make up	"آرایش، جبران کردن"	
manage	مدیریت	
meal	وعده غذایی	
Moslem	مسلمان	
papyrus	"پاپیروس، درخت کاغذ"	
report	گزارش	
sheet	ورق	
shocked	بهت زده	
shocking	تکان دهنده	
shout	فریاد	
smell	بو	
surprised	غافلگیر شدن	
surprising	شگفتی	
taste	"طعم، مزه"	
up and down	بالا و پایین	
whenever	هر زمانی که	
wire	سیم	
such as	مانند	
result	نتیجه	
frightening	ترسناک	درس 5
action	عمل	
activity	فعالیت	
airline	هواپیمایی	
aspect	جنبه	
available	"قادر، توانا"	
by means of	با استفاده از	
block	مسدود کردن	
capacity	ظرفیت	
central	مرکزی	
chemist	شیمی دان	
come in	بیا تو	
constantly	بطور مداوم	
deny	رد کردن	
design	طراحی	
designer	طراح	
disabled	ناتوان کردن	
drug	دارو	
field	"رشته، زمین ، مزرعه"	
endeavour	تلاش	
entertainment	سرگرمی	
exactly	دقیقا	
furthermore	علاوه بر این	
giant	بزرگ	
go straight on	مستقیم برو	
handle	رسیدگی	
in addition to	بعلاوه	
influence	تاثیر	
inform	"اطلاع دادن، آگاه کردن"	
on your left	در سمت چپ شما	
orbit	مدار	
otherwise	در غیر این صورت	
perform	اجرا کردن	
process	"فراآیند، عمل"	
programmable	برنامه ریزی	
pilot	خلبان	
planet	سیاره	
project	پروژه	
properly	مناسب	
research	"پژوهش، کاوش"	
right _ hand side	سمت راست	
separate	جداگانه	
series	"رشته، دنباله"	
spacecraft	سفینه فضایی	
success	موفقعیت	
superhuman	مافوق انسانی	
switch	"گزینه، تعویض"	
task	وظیفه	
tower	برج	
turn	"نوبت، چرخش"	
wind power	قدرت باد	
Mars	مریخ	
human	انسان	درس 6
